id_vict,x,y,sobr,tri
194,-4,14,0.0,1
173,-11,13,0.0,3
172,-12,13,0.0,0
178,-10,10,0.0,0
188,-7,6,0.0,0
187,-7,5,0.0,2
185,-8,5,0.0,3
192,-6,1,0.0,0
92,-7,-1,0.0,2
176,-10,1,0.0,2
184,-8,3,0.0,0
177,-10,5,0.0,2
167,-16,3,0.0,3
85,-22,-2,0.0,2
155,-24,5,0.0,0
163,-19,11,0.0,2
146,-28,13,0.0,0
145,-28,9,0.0,3
157,-23,8,0.0,3
152,-26,5,0.0,3
82,-29,-2,0.0,3
153,-26,11,0.0,3
80,-38,-3,0.0,0
131,-36,1,0.0,1
120,-41,4,0.0,3
117,-42,12,0.0,1
116,-42,7,0.0,3
123,-40,9,0.0,2
124,-40,10,0.0,2
109,-44,1,0.0,2
115,-42,5,0.0,2
125,-40,12,0.0,2
189,-7,16,0.0,1
110,-44,16,0.0,1
102,-46,16,0.0,0
150,-27,17,0.0,2
380,1,20,0.0,1
168,-15,22,0.0,2
179,-10,22,0.0,3
174,-11,26,0.0,2
197,-2,30,0.0,0
195,-4,30,0.0,2
196,-3,26,0.0,3
175,-11,31,0.0,2
180,-10,29,0.0,0
198,-1,38,0.0,3
381,1,38,0.0,3
385,7,42,0.0,2
384,7,38,0.0,3
388,9,41,0.0,1
202,0,34,0.0,2
199,-1,42,0.0,2
203,0,43,0.0,2
383,6,44,0.0,3
191,-7,38,0.0,3
181,-9,34,0.0,2
171,-13,35,0.0,0
183,-9,47,0.0,0
182,-9,44,0.0,0
186,-8,44,0.0,3
164,-18,37,0.0,1
165,-18,38,0.0,1
166,-17,39,0.0,3
170,-14,42,0.0,3
169,-15,40,0.0,2
161,-21,43,0.0,2
156,-24,47,0.0,3
151,-27,45,0.0,2
149,-28,41,0.0,0
154,-25,31,0.0,2
162,-21,37,0.0,1
143,-29,38,0.0,1
158,-23,40,0.0,2
144,-29,42,0.0,1
141,-30,41,0.0,1
136,-32,36,0.0,0
139,-31,34,0.0,0
142,-29,30,0.0,3
148,-28,32,0.0,0
140,-30,33,0.0,2
147,-28,46,0.0,0
128,-37,24,0.0,2
132,-36,23,0.0,1
137,-31,24,0.0,0
138,-31,25,0.0,0
134,-34,30,0.0,2
135,-34,34,0.0,2
129,-37,37,0.0,0
119,-42,30,0.0,3
111,-44,20,0.0,1
112,-44,21,0.0,0
118,-42,20,0.0,2
121,-41,37,0.0,0
113,-43,33,0.0,0
103,-46,27,0.0,0
104,-46,28,0.0,2
108,-45,33,0.0,1
114,-43,37,0.0,0
106,-46,39,0.0,2
105,-46,38,0.0,2
126,-40,42,0.0,3
107,-46,41,0.0,2
122,-41,45,0.0,0
133,-35,47,0.0,3
127,-38,42,0.0,3
130,-37,42,0.0,2
160,-22,38,0.0,2
159,-22,29,0.0,1
193,-6,28,0.0,2
190,-7,30,0.0,3
201,0,26,0.0,1
